glucose,hormone,pct_b,pct_s,ir
3.0,20,139.8,308.9,0.3237293622531564
3.0,39,216.7,159.3,0.6277463904582549
3.0,58,281.3,107.6,0.929368029739777
3.0,77,338.8,81.5,1.2269938650306749
3.0,96,391.5,65.7,1.5220700152207
3.0,115,440.6,55.1,1.8148820326678765
3.0,134,486.9,47.5,2.1052631578947367
3.0,153,530.8,41.9,2.3866348448687353
3.0,172,572.9,37.4,2.6737967914438503
3.0,191,613.2,33.9,2.9498525073746316
3.0,210,652.0,30.9,3.236245954692557
3.0,229,689.6,28.5,3.508771929824561
3.0,248,725.9,26.5,3.7735849056603774
3.0,267,761.2,24.7,4.048582995951417
3.0,286,795.5,23.2,4.310344827586207
3.0,305,828.9,21.8,4.587155963302752
3.0,324,861.5,20.6,4.854368932038835
3.0,343,893.3,19.6,5.1020408163265305
3.0,362,924.4,18.6,5.376344086021505
3.0,381,954.9,17.8,5.617977528089887
3.0,400,984.6,17.0,5.882352941176471
4.1,20,73.7,279.8,0.35739814152966404
4.1,39,114.8,144.2,0.6934812760055479
4.1,58,149.6,97.5,1.0256410256410255
4.1,77,180.7,73.8,1.3550135501355014
4.1,96,209.4,59.5,1.680672268907563
4.1,115,236.2,49.9,2.0040080160320644
4.1,134,261.6,43.1,2.320185614849188
4.1,153,285.8,37.9,2.638522427440633
4.1,172,309.0,33.9,2.9498525073746316
4.1,191,331.4,30.7,3.257328990228013
4.1,210,353.0,28.0,3.5714285714285716
4.1,229,373.9,25.8,3.875968992248062
4.1,248,394.2,24.0,4.166666666666667
4.1,267,414.0,22.4,4.464285714285714
4.1,286,433.3,21.0,4.761904761904762
4.1,305,452.1,19.8,5.05050505050505
4.1,324,470.5,18.7,5.347593582887701
4.1,343,488.5,17.8,5.617977528089887
4.1,362,506.2,16.9,5.91715976331361
4.1,381,523.4,16.1,6.211180124223602
4.1,400,540.4,15.4,6.4935064935064934
5.2,20,45.4,262.2,0.38138825324180015
5.2,39,71.1,135.2,0.7396449704142013
5.2,58,93.0,91.4,1.0940919037199124
5.2,77,112.7,69.2,1.445086705202312
5.2,96,131.0,55.8,1.7921146953405018
5.2,115,148.2,46.8,2.1367521367521367
5.2,134,164.5,40.4,2.4752475247524752
5.2,153,180.2,35.5,2.816901408450704
5.2,172,195.2,31.8,3.144654088050314
5.2,191,209.8,28.7,3.4843205574912894
5.2,210,223.9,26.3,3.802281368821293
5.2,229,237.6,24.2,4.132231404958678
5.2,248,251.0,22.5,4.444444444444445
5.2,267,264.0,21.0,4.761904761904762
5.2,286,276.7,19.7,5.0761421319796955
5.2,305,289.2,18.5,5.405405405405405
5.2,324,301.5,17.5,5.714285714285714
5.2,343,313.4,16.6,6.024096385542168
5.2,362,325.2,15.8,6.329113924050633
5.2,381,336.8,15.1,6.622516556291391
5.2,400,348.2,14.5,6.896551724137931
6.3,20,30.8,250.4,0.3993610223642172
6.3,39,48.4,129.1,0.774593338497289
6.3,58,63.6,87.3,1.145475372279496
6.3,77,77.4,66.1,1.5128593040847202
6.3,96,90.3,53.3,1.876172607879925
6.3,115,102.5,44.7,2.237136465324385
6.3,134,114.1,38.6,2.5906735751295336
6.3,153,125.2,33.9,2.9498525073746316
6.3,172,136.0,30.3,3.3003300330033003
6.3,191,146.5,27.5,3.6363636363636362
6.3,210,156.7,25.1,3.98406374501992
6.3,229,166.6,23.1,4.329004329004329
6.3,248,176.3,21.5,4.651162790697675
6.3,267,185.9,20.0,5.0
6.3,286,195.2,18.8,5.319148936170213
6.3,305,204.3,17.7,5.649717514124294
6.3,324,213.3,16.7,5.9880239520958085
6.3,343,222.1,15.9,6.289308176100628
6.3,362,230.8,15.1,6.622516556291391
6.3,381,239.4,14.4,6.944444444444445
6.3,400,247.9,13.8,7.246376811594202
7.4,20,22.2,241.8,0.4135649296939619
7.4,39,35.2,124.6,0.8025682182985554
7.4,58,46.5,84.2,1.187648456057007
7.4,77,56.8,63.8,1.567398119122257
7.4,96,66.5,51.4,1.9455252918287937
7.4,115,75.7,43.2,2.314814814814815
7.4,134,84.5,37.2,2.6881720430107525
7.4,153,93.1,32.8,3.048780487804878
7.4,172,101.4,29.3,3.41296928327645
7.4,191,109.4,26.5,3.7735849056603774
7.4,210,117.3,24.2,4.132231404958678
7.4,229,125.0,22.3,4.484304932735426
7.4,248,132.6,20.7,4.830917874396135
7.4,267,140.0,19.3,5.181347150259067
7.4,286,147.3,18.1,5.524861878453038
7.4,305,154.5,17.1,5.847953216374268
7.4,324,161.6,16.2,6.172839506172839
7.4,343,168.6,15.3,6.5359477124183005
7.4,362,175.5,14.6,6.8493150684931505
7.4,381,182.3,13.9,7.194244604316546
7.4,400,189.0,13.3,7.518796992481203
8.5,20,16.8,234.9,0.4257130693912303
8.5,39,26.9,121.1,0.8257638315441784
8.5,58,35.7,81.9,1.2210012210012209
8.5,77,43.8,62.0,1.6129032258064515
8.5,96,51.4,50.0,2.0
8.5,115,58.7,41.9,2.3866348448687353
8.5,134,65.8,36.2,2.762430939226519
8.5,153,72.6,31.8,3.144654088050314
8.5,172,79.3,28.5,3.508771929824561
8.5,191,85.9,25.8,3.875968992248062
8.5,210,92.3,23.5,4.25531914893617
8.5,229,98.6,21.7,4.6082949308755765
8.5,248,104.7,20.1,4.975124378109452
8.5,267,110.8,18.8,5.319148936170213
8.5,286,116.8,17.6,5.681818181818182
8.5,305,122.8,16.6,6.024096385542168
8.5,324,128.6,15.7,6.369426751592357
8.5,343,134.4,14.9,6.7114093959731544
8.5,362,140.2,14.2,7.042253521126761
8.5,381,145.8,13.5,7.407407407407407
8.5,400,151.5,13.0,7.6923076923076925
9.6,20,13.2,229.1,0.4364906154517678
9.6,39,21.2,118.1,0.8467400508044031
9.6,58,28.3,79.8,1.2531328320802007
9.6,77,35.0,60.5,1.6528925619834711
9.6,96,41.2,48.7,2.0533880903490758
9.6,115,47.3,40.9,2.444987775061125
9.6,134,53.1,35.3,2.8328611898017
9.6,153,58.8,31.0,3.225806451612903
9.6,172,64.4,27.8,3.597122302158273
9.6,191,69.9,25.1,3.98406374501992
9.6,210,75.3,23.0,4.3478260869565215
9.6,229,80.7,21.2,4.716981132075472
9.6,248,85.9,19.6,5.1020408163265305
9.6,267,91.1,18.3,5.46448087431694
9.6,286,96.2,17.2,5.813953488372094
9.6,305,101.3,16.2,6.172839506172839
9.6,324,106.4,15.3,6.5359477124183005
9.6,343,111.4,14.5,6.896551724137931
9.6,362,116.3,13.8,7.246376811594202
9.6,381,121.2,13.2,7.575757575757576
9.6,400,126.1,12.6,7.936507936507937
10.7,20,10.7,223.9,0.4466279589102278
10.7,39,17.3,115.4,0.8665511265164644
10.7,58,23.2,78.0,1.2820512820512822
10.7,77,28.7,59.1,1.6920473773265652
10.7,96,34.0,47.6,2.100840336134454
10.7,115,39.2,39.9,2.5062656641604013
10.7,134,44.2,34.5,2.898550724637681
10.7,153,49.1,30.3,3.3003300330033003
10.7,172,53.9,27.1,3.6900369003690034
10.7,191,58.7,24.5,4.081632653061225
10.7,210,63.4,22.4,4.464285714285714
10.7,229,68.0,20.7,4.830917874396135
10.7,248,72.6,19.2,5.208333333333334
10.7,267,77.1,17.9,5.5865921787709505
10.7,286,81.7,16.8,5.9523809523809526
10.7,305,86.1,15.8,6.329113924050633
10.7,324,90.6,15.0,6.666666666666667
10.7,343,95.0,14.2,7.042253521126761
10.7,362,99.4,13.5,7.407407407407407
10.7,381,103.8,12.9,7.751937984496124
10.7,400,108.1,12.3,8.130081300813007
11.8,20,8.8,218.3,0.4580852038479157
11.8,39,14.4,112.5,0.8888888888888888
11.8,58,19.4,76.0,1.3157894736842106
11.8,77,24.2,57.6,1.7361111111111112
11.8,96,28.8,46.4,2.1551724137931036
11.8,115,33.2,38.9,2.570694087403599
11.8,134,37.6,33.6,2.9761904761904763
11.8,153,41.9,29.6,3.378378378378378
11.8,172,46.2,26.4,3.787878787878788
11.8,191,50.4,23.9,4.184100418410042
11.8,210,54.6,21.9,4.566210045662101
11.8,229,58.7,20.1,4.975124378109452
11.8,248,62.8,18.7,5.347593582887701
11.8,267,66.9,17.4,5.74712643678161
11.8,286,71.0,16.4,6.097560975609756
11.8,305,75.0,15.4,6.4935064935064934
11.8,324,79.0,14.6,6.8493150684931505
11.8,343,83.0,13.8,7.246376811594202
11.8,362,87.0,13.2,7.575757575757576
11.8,381,91.0,12.6,7.936507936507937
11.8,400,95.0,12.0,8.333333333333334
12.9,20,7.4,210.9,0.474158368895211
12.9,39,12.2,108.7,0.9199632014719411
12.9,58,16.6,73.5,1.3605442176870748
12.9,77,20.7,55.6,1.7985611510791366
12.9,96,24.8,44.9,2.2271714922048997
12.9,115,28.8,37.6,2.6595744680851063
12.9,134,32.7,32.5,3.076923076923077
12.9,153,36.5,28.6,3.4965034965034962
12.9,172,40.3,25.5,3.9215686274509802
12.9,191,44.1,23.1,4.329004329004329
12.9,210,47.9,21.1,4.739336492890995
12.9,229,51.7,19.5,5.128205128205129
12.9,248,55.4,18.1,5.524861878453038
12.9,267,59.2,16.9,5.91715976331361
12.9,286,62.9,15.8,6.329113924050633
12.9,305,66.6,14.9,6.7114093959731544
12.9,324,70.3,14.1,7.092198581560284
12.9,343,74.0,13.4,7.462686567164179
12.9,362,77.7,12.7,7.874015748031496
12.9,381,81.3,12.2,8.196721311475411
12.9,400,85.0,11.6,8.620689655172415
14.0,20,6.3,200.7,0.4982561036372696
14.0,39,10.5,103.5,0.966183574879227
14.0,58,14.4,69.9,1.4306151645207439
14.0,77,18.1,52.9,1.890359168241966
14.0,96,21.7,42.7,2.34192037470726
14.0,115,25.3,35.8,2.7932960893854752
14.0,134,28.8,30.9,3.236245954692557
14.0,153,32.3,27.2,3.6764705882352944
14.0,172,35.8,24.3,4.11522633744856
14.0,191,39.3,22.0,4.545454545454546
14.0,210,42.8,20.1,4.975124378109452
14.0,229,46.2,18.5,5.405405405405405
14.0,248,49.7,17.2,5.813953488372094
14.0,267,53.1,16.0,6.25
14.0,286,56.6,15.0,6.666666666666667
14.0,305,60.1,14.2,7.042253521126761
14.0,324,63.5,13.4,7.462686567164179
14.0,343,67.0,12.7,7.874015748031496
14.0,362,70.4,12.1,8.264462809917356
14.0,381,73.8,11.6,8.620689655172415
14.0,400,77.3,11.1,9.00900900900901
15.1,20,5.5,187.3,0.5339028296849972
15.1,39,9.2,96.6,1.0351966873706004
15.1,58,12.6,65.3,1.5313935681470139
15.1,77,16.0,49.4,2.0242914979757085
15.1,96,19.3,39.8,2.512562814070352
15.1,115,22.5,33.4,2.9940119760479043
15.1,134,25.8,28.8,3.4722222222222223
15.1,153,29.0,25.4,3.937007874015748
15.1,172,32.2,22.7,4.405286343612335
15.1,191,35.5,20.5,4.878048780487805
15.1,210,38.7,18.8,5.319148936170213
15.1,229,41.9,17.3,5.780346820809248
15.1,248,45.2,16.0,6.25
15.1,267,48.4,15.0,6.666666666666667
15.1,286,51.6,14.0,7.142857142857143
15.1,305,54.9,13.2,7.575757575757576
15.1,324,58.1,12.5,8.0
15.1,343,61.4,11.9,8.403361344537815
15.1,362,64.7,11.3,8.849557522123893
15.1,381,67.9,10.8,9.25925925925926
15.1,400,71.2,10.3,9.70873786407767
16.2,20,4.8,171.4,0.5834305717619603
16.2,39,8.1,88.4,1.1312217194570136
16.2,58,11.3,59.7,1.675041876046901
16.2,77,14.3,45.2,2.2123893805309733
16.2,96,17.3,36.5,2.73972602739726
16.2,115,20.3,30.6,3.2679738562091503
16.2,134,23.3,26.4,3.787878787878788
16.2,153,26.3,23.2,4.310344827586207
16.2,172,29.4,20.8,4.8076923076923075
16.2,191,32.4,18.8,5.319148936170213
16.2,210,35.4,17.2,5.813953488372094
16.2,229,38.5,15.8,6.329113924050633
16.2,248,41.5,14.7,6.802721088435375
16.2,267,44.6,13.7,7.299270072992701
16.2,286,47.6,12.9,7.751937984496124
16.2,305,50.7,12.1,8.264462809917356
16.2,324,53.8,11.5,8.695652173913043
16.2,343,56.9,10.9,9.174311926605505
16.2,362,60.0,10.4,9.615384615384615
16.2,381,63.1,9.9,10.1010101010101
16.2,400,66.2,9.5,10.526315789473685
17.3,20,4.3,154.0,0.6493506493506493
17.3,39,7.3,79.4,1.2594458438287153
17.3,58,10.1,53.7,1.8621973929236497
17.3,77,12.9,40.6,2.4630541871921183
17.3,96,15.7,32.7,3.0581039755351678
17.3,115,18.5,27.5,3.6363636363636362
17.3,134,21.3,23.7,4.219409282700422
17.3,153,24.2,20.9,4.784688995215311
17.3,172,27.0,18.7,5.347593582887701
17.3,191,29.9,16.9,5.91715976331361
17.3,210,32.7,15.4,6.4935064935064934
17.3,229,35.6,14.2,7.042253521126761
17.3,248,38.5,13.2,7.575757575757576
17.3,267,41.4,12.3,8.130081300813007
17.3,286,44.4,11.6,8.620689655172415
17.3,305,47.3,10.9,9.174311926605505
17.3,324,50.3,10.3,9.70873786407767
17.3,343,53.2,9.8,10.204081632653061
17.3,362,56.2,9.3,10.75268817204301
17.3,381,59.2,8.9,11.235955056179774
17.3,400,62.2,8.5,11.764705882352942
18.4,20,3.8,135.6,0.7374631268436579
18.4,39,6.5,69.9,1.4306151645207439
18.4,58,9.2,47.3,2.1141649048625792
18.4,77,11.8,35.8,2.7932960893854752
18.4,96,14.4,28.9,3.4602076124567476
18.4,115,17.0,24.2,4.132231404958678
18.4,134,19.7,20.9,4.784688995215311
18.4,153,22.4,18.4,5.434782608695652
18.4,172,25.0,16.4,6.097560975609756
18.4,191,27.8,14.9,6.7114093959731544
18.4,210,30.5,13.6,7.352941176470589
18.4,229,33.3,12.5,8.0
18.4,248,36.0,11.6,8.620689655172415
18.4,267,38.8,10.9,9.174311926605505
18.4,286,41.6,10.2,9.803921568627452
18.4,305,44.5,9.6,10.416666666666668
18.4,324,47.3,9.1,10.989010989010989
18.4,343,50.2,8.6,11.627906976744187
18.4,362,53.0,8.2,12.195121951219512
18.4,381,55.9,7.8,12.820512820512821
18.4,400,58.8,7.5,13.333333333333334
19.5,20,3.4,116.6,0.8576329331046313
19.5,39,5.9,60.1,1.6638935108153077
19.5,58,8.4,40.6,2.4630541871921183
19.5,77,10.8,30.8,3.2467532467532467
19.5,96,13.3,24.8,4.032258064516129
19.5,115,15.8,20.8,4.8076923076923075
19.5,134,18.3,18.0,5.555555555555555
19.5,153,20.8,15.8,6.329113924050633
19.5,172,23.4,14.1,7.092198581560284
19.5,191,26.0,12.8,7.8125
19.5,210,28.6,11.7,8.547008547008547
19.5,229,31.3,10.8,9.25925925925926
19.5,248,33.9,10.0,10.0
19.5,267,36.6,9.3,10.75268817204301
19.5,286,39.4,8.8,11.363636363636363
19.5,305,42.1,8.3,12.048192771084336
19.5,324,44.8,7.8,12.820512820512821
19.5,343,47.6,7.4,13.513513513513512
19.5,362,50.4,7.1,14.084507042253522
19.5,381,53.2,6.7,14.925373134328359
19.5,400,56.0,6.4,15.625
20.6,20,3.1,96.8,1.0330578512396695
20.6,39,5.4,49.9,2.0040080160320644
20.6,58,7.7,33.8,2.958579881656805
20.6,77,10.0,25.6,3.90625
20.6,96,12.4,20.6,4.854368932038835
20.6,115,14.7,17.3,5.780346820809248
20.6,134,17.1,14.9,6.7114093959731544
20.6,153,19.6,13.1,7.633587786259542
20.6,172,22.0,11.7,8.547008547008547
20.6,191,24.5,10.6,9.433962264150944
20.6,210,27.0,9.7,10.309278350515465
20.6,229,29.6,9.0,11.11111111111111
20.6,248,32.2,8.3,12.048192771084336
20.6,267,34.8,7.8,12.820512820512821
20.6,286,37.4,7.3,13.698630136986301
20.6,305,40.0,6.9,14.492753623188404
20.6,324,42.7,6.5,15.384615384615385
20.6,343,45.4,6.2,16.129032258064516
20.6,362,48.1,5.9,16.94915254237288
20.6,381,50.8,5.6,17.857142857142858
20.6,400,53.5,5.4,18.51851851851852
21.7,20,2.8,76.2,1.3123359580052494
21.7,39,5.0,39.3,2.544529262086514
21.7,58,7.2,26.6,3.7593984962406015
21.7,77,9.3,20.1,4.975124378109452
21.7,96,11.6,16.2,6.172839506172839
21.7,115,13.8,13.6,7.352941176470589
21.7,134,16.1,11.8,8.47457627118644
21.7,153,18.4,10.3,9.70873786407767
21.7,172,20.8,9.3,10.75268817204301
21.7,191,23.2,8.4,11.904761904761905
21.7,210,25.7,7.7,12.987012987012987
21.7,229,28.1,7.1,14.084507042253522
21.7,248,30.6,6.6,15.151515151515152
21.7,267,33.2,6.1,16.393442622950822
21.7,286,35.7,5.7,17.543859649122805
21.7,305,38.3,5.4,18.51851851851852
21.7,324,40.9,5.1,19.607843137254903
21.7,343,43.5,4.9,20.408163265306122
21.7,362,46.1,4.6,21.73913043478261
21.7,381,48.8,4.4,22.727272727272727
21.7,400,51.4,4.2,23.80952380952381
22.8,20,2.6,54.5,1.834862385321101
22.8,39,4.6,28.1,3.558718861209964
22.8,58,6.7,19.0,5.2631578947368425
22.8,77,8.7,14.4,6.944444444444445
22.8,96,10.9,11.6,8.620689655172415
22.8,115,13.0,9.7,10.309278350515465
22.8,134,15.2,8.4,11.904761904761905
22.8,153,17.5,7.4,13.513513513513512
22.8,172,19.8,6.6,15.151515151515152
22.8,191,22.1,6.0,16.666666666666668
22.8,210,24.5,5.5,18.181818181818183
22.8,229,26.9,5.0,20.0
22.8,248,29.3,4.7,21.27659574468085
22.8,267,31.8,4.4,22.727272727272727
22.8,286,34.2,4.1,24.390243902439025
22.8,305,36.7,3.9,25.641025641025642
22.8,324,39.3,3.7,27.027027027027025
22.8,343,41.8,3.5,28.571428571428573
22.8,362,44.4,3.3,30.303030303030305
22.8,381,47.0,3.2,31.25
22.8,400,49.6,3.0,33.333333333333336
23.9,20,2.4,31.0,3.225806451612903
23.9,39,4.3,16.0,6.25
23.9,58,6.3,10.8,9.25925925925926
23.9,77,8.2,8.2,12.195121951219512
23.9,96,10.3,6.6,15.151515151515152
23.9,115,12.3,5.6,17.857142857142858
23.9,134,14.5,4.8,20.833333333333336
23.9,153,16.7,4.2,23.80952380952381
23.9,172,18.9,3.8,26.315789473684212
23.9,191,21.1,3.4,29.411764705882355
23.9,210,23.4,3.1,32.25806451612903
23.9,229,25.8,2.9,34.48275862068966
23.9,248,28.1,2.7,37.03703703703704
23.9,267,30.5,2.5,40.0
23.9,286,32.9,2.3,43.47826086956522
23.9,305,35.4,2.2,45.45454545454545
23.9,324,37.8,2.1,47.61904761904762
23.9,343,40.3,2.0,50.0
23.9,362,42.8,1.9,52.631578947368425
23.9,381,45.4,1.8,55.55555555555556
23.9,400,47.9,1.7,58.82352941176471
25.0,20,2.2,5.0,20.0
25.0,39,4.0,2.6,38.46153846153846
25.0,58,5.9,1.8,55.55555555555556
25.0,77,7.8,1.3,76.92307692307692
25.0,96,9.7,1.1,90.9090909090909
25.0,115,11.7,0.9,111.11111111111111
25.0,134,13.8,0.8,125.0
25.0,153,15.9,0.7,142.85714285714286
25.0,172,18.1,0.6,166.66666666666669
25.0,191,20.3,0.6,166.66666666666669
25.0,210,22.5,0.5,200.0
25.0,229,24.8,0.5,200.0
25.0,248,27.1,0.4,250.0
25.0,267,29.4,0.4,250.0
25.0,286,31.8,0.4,250.0
25.0,305,34.2,0.4,250.0
25.0,324,36.6,0.3,333.33333333333337
25.0,343,39.0,0.3,333.33333333333337
25.0,362,41.5,0.3,333.33333333333337
25.0,381,44.0,0.3,333.33333333333337
25.0,400,46.4,0.3,333.33333333333337
